Make,Model,Overall Score,Recommended,Owner Satisfaction,Overall Miles Per Gallon,Acceleration (0-60) Sec
Subaru,Forester,84,Yes,B,26,8.7
Honda,CRV,83,Yes,A,27,8.6
Toyota,Rav4,81,Yes,A,24,9.3
Nissan,Rogue,73,Yes,B,24,9.5
Mazda,CX-5,71,Yes,A,24,8.6
Kia,Sportage,71,Yes,B,23,9.6
Ford,Escape,69,Yes,C,23,10.1
Volkswagen,Tiguan Limited,67,No,C,21,8.5
Volkswagen,Tiguan,65,No,B,25,10.3
Mitsubishi,Outlander,63,No,C,24,10
Chevrolet,Equinox,63,No,C,31,10.1
Hyundai,Tuscon,57,No,C,26,8.4
GMC,Terrain,57,No,C,22,7.2
Jeep ,Cherokee,55,No,D,22,10.9
Jeep ,Compass,50,No,C,24,9.8
