Customer Number,Lens Type,
700805,bifocal contact lenses,
773813,progressive lenses,
643143,daily wear contact lenses,
854198,extended wear contact lenses,
724742,disposable contact lenses,
585493,extended wear contact lenses,
653069,monofocal lenses,
428764,bifocal lenses,
889524,extended wear contact lenses,
663256,bifocal lenses,
999948,extended wear contact lenses,
446696,bifocal contact lenses,
733384,toric contact lenses,
406039,extended wear contact lenses,
896246,progressive lenses,
389439,bifocal lenses,
994852,monofocal lenses,
874237,monofocal lenses,
141731,monofocal lenses,
137685,daily wear contact lenses,
705212,monofocal lenses,
324835,trifocal lenses,
591968,progressive lenses,
21089,bifocal contact lenses,
553158,bifocal lenses,
808582,monofocal lenses,
981393,progressive lenses,
63145,monofocal lenses,
934488,progressive lenses,
514055,progressive lenses,
436895,monofocal lenses,
230959,monofocal lenses,
891600,bifocal lenses,
669438,progressive lenses,
223281,progressive lenses,
105771,disposable contact lenses,
550904,monofocal lenses,
647911,rigid gas permeable contact lenses,
74528,rigid gas permeable contact lenses,
819347,progressive lenses,
903052,trifocal lenses,
123179,progressive lenses,
822197,bifocal contact lenses,
380659,disposable contact lenses,
116530,monofocal lenses,
276019,monofocal lenses,
952204,bifocal lenses,
5540,monofocal lenses,
998618,rigid gas permeable contact lenses,
67978,monofocal lenses,
853328,progressive lenses,
781519,disposable contact lenses,
822567,monofocal lenses,
906337,bifocal contact lenses,
793507,toric contact lenses,
81926,monofocal lenses,
17609,bifocal lenses,
57571,disposable contact lenses,
78964,monofocal lenses,
904961,monofocal lenses,
436073,bifocal lenses,
656168,progressive lenses,
54336,monofocal lenses,
350997,disposable contact lenses,
769770,rigid gas permeable contact lenses,
803325,monofocal lenses,
538762,monofocal lenses,
685639,disposable contact lenses,
541083,bifocal lenses,
751278,bifocal lenses,
330836,toric contact lenses,
301689,progressive lenses,
756728,extended wear contact lenses,
859961,monofocal lenses,
637919,monofocal lenses,
170531,trifocal lenses,
430299,bifocal lenses,
42103,extended wear contact lenses,
32903,monofocal lenses,
815009,bifocal lenses,
372807,progressive lenses,
385555,bifocal contact lenses,
932250,monofocal lenses,
868155,bifocal contact lenses,
150075,monofocal lenses,
862828,bifocal lenses,
249863,rigid gas permeable contact lenses,
73021,bifocal lenses,
566615,monofocal lenses,
982100,disposable contact lenses,
840172,trifocal lenses,
161160,monofocal lenses,
594367,extended wear contact lenses,
335051,progressive lenses,
637086,monofocal lenses,
258790,bifocal contact lenses,
505912,extended wear contact lenses,
368499,trifocal lenses,
517348,progressive lenses,
85891,progressive lenses,
325939,daily wear contact lenses,
850924,progressive lenses,
285287,progressive lenses,
719850,toric contact lenses,
969625,extended wear contact lenses,
610803,bifocal contact lenses,
697114,daily wear contact lenses,
261252,monofocal lenses,
379289,progressive lenses,
296852,daily wear contact lenses,
995087,monofocal lenses,
118878,progressive lenses,
201948,progressive lenses,
636025,monofocal lenses,
707391,rigid gas permeable contact lenses,
131786,monofocal lenses,
966009,monofocal lenses,
226853,disposable contact lenses,
854524,monofocal lenses,
896564,extended wear contact lenses,
374291,trifocal lenses,
66917,extended wear contact lenses,
970047,monofocal lenses,
104634,monofocal lenses,
991992,monofocal lenses,
179764,disposable contact lenses,
742069,bifocal lenses,
228949,monofocal lenses,
83512,bifocal contact lenses,
341817,bifocal contact lenses,
462496,disposable contact lenses,
623442,extended wear contact lenses,
940703,progressive lenses,
989419,bifocal lenses,
614997,progressive lenses,
957958,rigid gas permeable contact lenses,
597082,monofocal lenses,
584077,monofocal lenses,
995349,extended wear contact lenses,
852194,progressive lenses,
811956,monofocal lenses,
697409,extended wear contact lenses,
312708,bifocal lenses,
853285,progressive lenses,
520046,disposable contact lenses,
341633,bifocal lenses,
375855,monofocal lenses,
337962,extended wear contact lenses,
889631,bifocal lenses,
57399,extended wear contact lenses,
572713,monofocal lenses,
441444,monofocal lenses,
624660,bifocal lenses,
849806,progressive lenses,
327363,toric contact lenses,
107254,rigid gas permeable contact lenses,
357190,progressive lenses,
129214,progressive lenses,
69731,monofocal lenses,
232665,monofocal lenses,
436167,toric contact lenses,
934684,bifocal lenses,
34520,progressive lenses,
313985,bifocal lenses,
474572,monofocal lenses,
623869,monofocal lenses,
296301,monofocal lenses,
229878,bifocal contact lenses,
552870,toric contact lenses,
251013,monofocal lenses,
908743,extended wear contact lenses,
906312,toric contact lenses,
565686,monofocal lenses,
575359,rigid gas permeable contact lenses,
648483,monofocal lenses,
57037,progressive lenses,
427606,progressive lenses,
752354,monofocal lenses,
713261,monofocal lenses,
948985,progressive lenses,
76353,bifocal contact lenses,
356311,bifocal lenses,
702733,trifocal lenses,
127851,daily wear contact lenses,
761985,monofocal lenses,
615317,monofocal lenses,
586378,bifocal lenses,
222192,progressive lenses,
356545,bifocal lenses,
48057,bifocal lenses,
648239,bifocal lenses,
494945,extended wear contact lenses,
711382,extended wear contact lenses,
324939,monofocal lenses,
729829,bifocal contact lenses,
508080,bifocal lenses,
971058,monofocal lenses,
602563,progressive lenses,
627175,progressive lenses,
79237,bifocal contact lenses,
929242,bifocal contact lenses,
956530,disposable contact lenses,
351202,disposable contact lenses,
369556,extended wear contact lenses,
501997,progressive lenses,
583558,monofocal lenses,
199870,monofocal lenses,
247633,bifocal lenses,
307219,extended wear contact lenses,
842988,rigid gas permeable contact lenses,
213903,progressive lenses,
978481,monofocal lenses,
666730,bifocal contact lenses,
678574,progressive lenses,
877695,disposable contact lenses,
615524,progressive lenses,
300270,monofocal lenses,
711660,daily wear contact lenses,
520045,toric contact lenses,
175801,monofocal lenses,
738658,toric contact lenses,
169744,daily wear contact lenses,
734740,progressive lenses,
323352,monofocal lenses,
699148,monofocal lenses,
84155,disposable contact lenses,
642541,daily wear contact lenses,
230025,bifocal lenses,
339293,disposable contact lenses,
847345,monofocal lenses,
195898,bifocal contact lenses,
925230,bifocal lenses,
76504,disposable contact lenses,
799491,rigid gas permeable contact lenses,
937579,monofocal lenses,
877116,progressive lenses,
312517,bifocal contact lenses,
469488,bifocal lenses,
192793,monofocal lenses,
315007,disposable contact lenses,
493442,monofocal lenses,
163789,monofocal lenses,
117102,progressive lenses,
953037,toric contact lenses,
194675,disposable contact lenses,
245044,progressive lenses,
452439,daily wear contact lenses,
930194,daily wear contact lenses,
573182,progressive lenses,
995210,extended wear contact lenses,
370043,bifocal contact lenses,
921625,toric contact lenses,
799212,progressive lenses,
81889,monofocal lenses,
806128,monofocal lenses,
610015,monofocal lenses,
170708,monofocal lenses,
448992,bifocal lenses,
160805,monofocal lenses,
704247,monofocal lenses,
880978,monofocal lenses,
258423,progressive lenses,
441265,monofocal lenses,
483414,disposable contact lenses,
616137,progressive lenses,
239895,bifocal lenses,
318203,toric contact lenses,
464724,rigid gas permeable contact lenses,
606905,progressive lenses,
882930,disposable contact lenses,
435811,trifocal lenses,
125181,progressive lenses,
165935,progressive lenses,
306747,rigid gas permeable contact lenses,
41730,bifocal lenses,
3127,extended wear contact lenses,
485669,monofocal lenses,
405799,bifocal contact lenses,
290218,progressive lenses,
856626,progressive lenses,
974049,trifocal lenses,
725060,extended wear contact lenses,
428648,toric contact lenses,
620559,bifocal lenses,
437026,monofocal lenses,
17079,monofocal lenses,
21148,progressive lenses,
726489,toric contact lenses,
423260,progressive lenses,
72746,monofocal lenses,
550848,toric contact lenses,
640007,bifocal contact lenses,
379887,monofocal lenses,
453258,bifocal lenses,
764465,disposable contact lenses,
94741,monofocal lenses,
991821,toric contact lenses,
956421,progressive lenses,
741744,monofocal lenses,
491492,progressive lenses,
752110,trifocal lenses,
963476,disposable contact lenses,
60629,disposable contact lenses,
957431,monofocal lenses,
93290,monofocal lenses,
90304,disposable contact lenses,
574215,monofocal lenses,
234577,progressive lenses,
534939,extended wear contact lenses,
367244,monofocal lenses,
799670,monofocal lenses,
484453,disposable contact lenses,
953670,bifocal lenses,
65618,progressive lenses,
209125,monofocal lenses,
945426,monofocal lenses,
546733,progressive lenses,
410694,disposable contact lenses,
612037,extended wear contact lenses,
174257,bifocal lenses,
147543,toric contact lenses,
389021,bifocal lenses,
502254,monofocal lenses,
555815,progressive lenses,
398361,monofocal lenses,
20233,bifocal lenses,
424044,extended wear contact lenses,
718689,bifocal lenses,
785068,monofocal lenses,
910510,daily wear contact lenses,
61477,progressive lenses,
755041,monofocal lenses,
799821,progressive lenses,
531424,progressive lenses,
769691,bifocal lenses,
248013,monofocal lenses,
775763,progressive lenses,
438897,bifocal contact lenses,
910067,bifocal contact lenses,
598215,monofocal lenses,
576310,monofocal lenses,
444515,monofocal lenses,
946018,bifocal lenses,
84077,progressive lenses,
397197,toric contact lenses,
610665,trifocal lenses,
878782,monofocal lenses,
913624,extended wear contact lenses,
226057,monofocal lenses,
653199,monofocal lenses,
238683,disposable contact lenses,
454903,rigid gas permeable contact lenses,
268245,monofocal lenses,
245946,bifocal lenses,
730142,disposable contact lenses,
685463,progressive lenses,
366726,bifocal lenses,
51342,monofocal lenses,
517390,extended wear contact lenses,
504185,progressive lenses,
386915,disposable contact lenses,
869774,disposable contact lenses,
961720,monofocal lenses,
105475,monofocal lenses,
270514,progressive lenses,
247513,rigid gas permeable contact lenses,
636207,progressive lenses,
16906,disposable contact lenses,
169388,monofocal lenses,
972385,disposable contact lenses,
893900,disposable contact lenses,
229091,progressive lenses,
566207,bifocal lenses,
585863,monofocal lenses,
244117,monofocal lenses,
754602,monofocal lenses,
975033,progressive lenses,
22667,monofocal lenses,
231701,progressive lenses,
146157,rigid gas permeable contact lenses,
851939,monofocal lenses,
481293,bifocal lenses,
504455,disposable contact lenses,
633212,monofocal lenses,
46343,rigid gas permeable contact lenses,
355852,monofocal lenses,
641212,progressive lenses,
265799,monofocal lenses,
509965,toric contact lenses,
662367,monofocal lenses,
492198,bifocal contact lenses,
747285,disposable contact lenses,
496855,monofocal lenses,
994791,monofocal lenses,
619126,disposable contact lenses,
801547,monofocal lenses,
691013,bifocal lenses,
121769,bifocal lenses,
611375,disposable contact lenses,
248337,disposable contact lenses,
280163,bifocal lenses,
317163,progressive lenses,
727226,progressive lenses,
829637,monofocal lenses,
995822,toric contact lenses,
223116,monofocal lenses,
247068,disposable contact lenses,
396251,progressive lenses,
550432,disposable contact lenses,
388888,daily wear contact lenses,
342888,extended wear contact lenses,
356945,bifocal contact lenses,
238176,disposable contact lenses,
185254,progressive lenses,
350787,monofocal lenses,
782356,disposable contact lenses,
798064,extended wear contact lenses,
108257,disposable contact lenses,
295238,extended wear contact lenses,
519433,extended wear contact lenses,
322812,monofocal lenses,
560916,rigid gas permeable contact lenses,
127492,disposable contact lenses,
27621,progressive lenses,
117946,bifocal lenses,
225672,monofocal lenses,
577455,bifocal lenses,
21681,disposable contact lenses,
778505,bifocal contact lenses,
596928,bifocal lenses,
697513,daily wear contact lenses,
641782,progressive lenses,
251591,bifocal contact lenses,
763781,bifocal contact lenses,
553839,trifocal lenses,
828135,monofocal lenses,
758596,progressive lenses,
533124,bifocal lenses,
493309,extended wear contact lenses,
3290,bifocal lenses,
137763,progressive lenses,
243090,extended wear contact lenses,
979553,monofocal lenses,
979465,trifocal lenses,
569665,monofocal lenses,
992254,progressive lenses,
445253,bifocal lenses,
913901,bifocal contact lenses,
906966,bifocal lenses,
170847,bifocal contact lenses,
978018,extended wear contact lenses,
778356,trifocal lenses,
347116,bifocal lenses,
304725,bifocal contact lenses,
746634,bifocal lenses,
645152,toric contact lenses,
731461,bifocal contact lenses,
853770,monofocal lenses,
533234,bifocal lenses,
362886,extended wear contact lenses,
388953,monofocal lenses,
195606,monofocal lenses,
506382,daily wear contact lenses,
12632,rigid gas permeable contact lenses,
421897,extended wear contact lenses,
904287,progressive lenses,
946387,disposable contact lenses,
968613,extended wear contact lenses,
797230,progressive lenses,
698140,disposable contact lenses,
566806,bifocal lenses,
710175,progressive lenses,
274963,monofocal lenses,
248291,monofocal lenses,
139541,monofocal lenses,
936137,monofocal lenses,
990971,progressive lenses,
175268,monofocal lenses,
713144,toric contact lenses,
703813,progressive lenses,
625245,extended wear contact lenses,
454846,monofocal lenses,
445777,monofocal lenses,
234123,bifocal contact lenses,
515592,extended wear contact lenses,
292364,extended wear contact lenses,
969023,rigid gas permeable contact lenses,
717619,progressive lenses,
374774,disposable contact lenses,
260995,progressive lenses,
825638,monofocal lenses,
947271,monofocal lenses,
130690,progressive lenses,
492031,monofocal lenses,
128572,progressive lenses,
198210,progressive lenses,
65226,extended wear contact lenses,
135307,extended wear contact lenses,
705985,bifocal contact lenses,
537430,trifocal lenses,
745941,progressive lenses,
641886,rigid gas permeable contact lenses,
123824,extended wear contact lenses,
822680,toric contact lenses,
633053,bifocal lenses,
366395,extended wear contact lenses,
485755,disposable contact lenses,
261193,progressive lenses,
961977,disposable contact lenses,
686198,daily wear contact lenses,
803262,disposable contact lenses,
55737,monofocal lenses,
535573,bifocal lenses,
345784,disposable contact lenses,
833149,rigid gas permeable contact lenses,
983992,extended wear contact lenses,
364353,rigid gas permeable contact lenses,
640568,progressive lenses,
858749,toric contact lenses,
623348,disposable contact lenses,
326637,progressive lenses,
692640,progressive lenses,
230567,monofocal lenses,
710097,extended wear contact lenses,
513062,monofocal lenses,
313142,monofocal lenses,
232499,daily wear contact lenses,
682966,extended wear contact lenses,
426190,progressive lenses,
825077,bifocal lenses,
573977,monofocal lenses,
110102,bifocal contact lenses,
630386,monofocal lenses,
70377,bifocal lenses,
39041,trifocal lenses,
418547,disposable contact lenses,
131233,bifocal contact lenses,
939573,progressive lenses,
154375,progressive lenses,
494224,disposable contact lenses,
744281,extended wear contact lenses,
551347,disposable contact lenses,
741715,bifocal contact lenses,
900652,monofocal lenses,
453342,bifocal lenses,
775496,progressive lenses,
655904,disposable contact lenses,
919097,monofocal lenses,
187924,monofocal lenses,
796281,progressive lenses,
124384,bifocal contact lenses,
11063,monofocal lenses,
650203,toric contact lenses,
558876,extended wear contact lenses,
360461,monofocal lenses,
827696,progressive lenses,
73861,bifocal lenses,
65717,bifocal lenses,
891659,bifocal lenses,
20333,monofocal lenses,
153697,progressive lenses,
443040,monofocal lenses,
173277,extended wear contact lenses,
61452,progressive lenses,
404937,extended wear contact lenses,
105155,progressive lenses,
252657,disposable contact lenses,
588761,toric contact lenses,
299512,rigid gas permeable contact lenses,
648178,monofocal lenses,
570783,progressive lenses,
286470,progressive lenses,
670103,monofocal lenses,
815672,toric contact lenses,
922661,toric contact lenses,
345569,extended wear contact lenses,
572588,bifocal lenses,
269090,extended wear contact lenses,
521791,monofocal lenses,
609627,trifocal lenses,
811663,disposable contact lenses,
7176,progressive lenses,
295179,monofocal lenses,
682925,extended wear contact lenses,
864397,progressive lenses,
593310,bifocal contact lenses,
65929,extended wear contact lenses,
35185,extended wear contact lenses,
936438,progressive lenses,
955699,progressive lenses,
112934,progressive lenses,
547740,progressive lenses,
175893,bifocal lenses,
320358,extended wear contact lenses,
283058,progressive lenses,
586109,progressive lenses,
297489,extended wear contact lenses,
298192,daily wear contact lenses,
645341,monofocal lenses,
322182,monofocal lenses,
728809,daily wear contact lenses,
834453,monofocal lenses,
178694,bifocal lenses,
825511,disposable contact lenses,
664471,bifocal contact lenses,
782881,toric contact lenses,
601157,extended wear contact lenses,
83823,bifocal lenses,
78766,extended wear contact lenses,
666945,extended wear contact lenses,
665751,monofocal lenses,
696332,disposable contact lenses,
168441,monofocal lenses,
537646,extended wear contact lenses,
36375,disposable contact lenses,
593744,bifocal lenses,
264690,extended wear contact lenses,
231133,monofocal lenses,
695743,progressive lenses,
94711,disposable contact lenses,
992721,disposable contact lenses,
831296,progressive lenses,
528601,bifocal lenses,
225443,monofocal lenses,
268834,progressive lenses,
14249,bifocal lenses,
31164,bifocal lenses,
890946,monofocal lenses,
791431,extended wear contact lenses,
275610,bifocal lenses,
781353,disposable contact lenses,
170248,monofocal lenses,
777525,trifocal lenses,
470628,disposable contact lenses,
660831,bifocal lenses,
23471,bifocal lenses,
313349,progressive lenses,
154299,daily wear contact lenses,
243192,extended wear contact lenses,
378451,progressive lenses,
338111,disposable contact lenses,
527023,monofocal lenses,
600808,extended wear contact lenses,
941849,disposable contact lenses,
222969,disposable contact lenses,
314792,disposable contact lenses,
93384,bifocal contact lenses,
915487,monofocal lenses,
814387,progressive lenses,
473025,bifocal contact lenses,
995512,monofocal lenses,
130136,trifocal lenses,
969494,monofocal lenses,
860946,bifocal lenses,
995981,disposable contact lenses,
665404,disposable contact lenses,
506809,progressive lenses,
475139,monofocal lenses,
590558,bifocal lenses,
967395,progressive lenses,
40850,progressive lenses,
93102,bifocal lenses,
564735,progressive lenses,
955442,rigid gas permeable contact lenses,
854062,daily wear contact lenses,
236745,monofocal lenses,
95642,bifocal lenses,
728708,progressive lenses,
218406,monofocal lenses,
931040,monofocal lenses,
317123,monofocal lenses,
565033,monofocal lenses,
890208,monofocal lenses,
711850,monofocal lenses,
266731,bifocal contact lenses,
478837,monofocal lenses,
281098,extended wear contact lenses,
862943,monofocal lenses,
91648,monofocal lenses,
658488,bifocal contact lenses,
412982,monofocal lenses,
275780,daily wear contact lenses,
750978,monofocal lenses,
983280,monofocal lenses,
46912,rigid gas permeable contact lenses,
764359,disposable contact lenses,
389559,daily wear contact lenses,
741943,progressive lenses,
340940,monofocal lenses,
598819,monofocal lenses,
558329,progressive lenses,
548869,monofocal lenses,
276869,monofocal lenses,
254667,bifocal lenses,
129054,progressive lenses,
697714,progressive lenses,
182125,bifocal lenses,
849945,extended wear contact lenses,
227699,rigid gas permeable contact lenses,
71147,progressive lenses,
275082,extended wear contact lenses,
160429,extended wear contact lenses,
877295,bifocal contact lenses,
897836,rigid gas permeable contact lenses,
240858,progressive lenses,
671457,monofocal lenses,
668704,disposable contact lenses,
562126,disposable contact lenses,
757039,progressive lenses,
567558,monofocal lenses,
180401,bifocal lenses,
6302,bifocal contact lenses,
740929,bifocal lenses,
690596,extended wear contact lenses,
155603,bifocal lenses,
152856,progressive lenses,
368680,monofocal lenses,
504165,progressive lenses,
901375,monofocal lenses,
118001,disposable contact lenses,
812414,progressive lenses,
827669,toric contact lenses,
397204,bifocal contact lenses,
26176,extended wear contact lenses,
244615,disposable contact lenses,
49020,disposable contact lenses,
528444,daily wear contact lenses,
673642,progressive lenses,
818476,disposable contact lenses,
476525,monofocal lenses,
737608,monofocal lenses,
340843,trifocal lenses,
422135,monofocal lenses,
891036,disposable contact lenses,
799596,disposable contact lenses,
835294,progressive lenses,
854178,monofocal lenses,
69771,bifocal lenses,
7134,progressive lenses,
876754,extended wear contact lenses,
394033,monofocal lenses,
288644,progressive lenses,
717975,bifocal contact lenses,
204698,bifocal contact lenses,
815007,monofocal lenses,
666965,bifocal contact lenses,
991279,bifocal lenses,
839046,monofocal lenses,
868853,monofocal lenses,
677518,bifocal contact lenses,
293027,progressive lenses,
539840,bifocal contact lenses,
607654,monofocal lenses,
603995,trifocal lenses,
555557,progressive lenses,
511432,progressive lenses,
365123,bifocal contact lenses,
938854,trifocal lenses,
68120,monofocal lenses,
980182,progressive lenses,
998846,bifocal lenses,
194186,toric contact lenses,
449964,disposable contact lenses,
232198,progressive lenses,
118102,daily wear contact lenses,
220683,progressive lenses,
48890,extended wear contact lenses,
315597,disposable contact lenses,
596231,progressive lenses,
318072,progressive lenses,
219977,monofocal lenses,
395942,monofocal lenses,
21666,disposable contact lenses,
984505,progressive lenses,
412158,progressive lenses,
398669,monofocal lenses,
495234,bifocal lenses,
556606,progressive lenses,
798987,progressive lenses,
477478,extended wear contact lenses,
374013,progressive lenses,
574910,extended wear contact lenses,
263539,daily wear contact lenses,
259107,toric contact lenses,
76025,progressive lenses,
869948,disposable contact lenses,
782470,extended wear contact lenses,
194518,bifocal lenses,
361719,toric contact lenses,
933359,bifocal lenses,
706054,daily wear contact lenses,
781719,disposable contact lenses,
573412,extended wear contact lenses,
365949,monofocal lenses,
306012,progressive lenses,
315951,disposable contact lenses,
661613,daily wear contact lenses,
787093,extended wear contact lenses,
642720,progressive lenses,
638600,monofocal lenses,
144106,toric contact lenses,
685190,monofocal lenses,
554165,progressive lenses,
49188,extended wear contact lenses,
991077,monofocal lenses,
936721,monofocal lenses,
25478,monofocal lenses,
486629,bifocal contact lenses,
94598,progressive lenses,
919768,monofocal lenses,
866274,daily wear contact lenses,
475592,monofocal lenses,
